timestamp_utc,src_ip,method,host,url,dest_ip,dest_port,http_status,bytes_out,bytes_in,user_agent,url_category,policy_rule,rule_match,action,tls_inspection
2026-08-10T06:52:14Z,10.12.4.55,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3120,48210,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T07:03:47Z,10.12.4.91,CONNECT,teams.microsoft.com,teams.microsoft.com:443,198.51.100.111,443,200,5410,91230,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T07:11:09Z,10.12.7.31,GET,promo-shop-deals.example,https://promo-shop-deals.example/spring-sale?ref=e5b21d90,203.0.113.162,443,200,742,22318,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-10T07:11:10Z,10.12.7.31,GET,promo-shop-deals.example,https://promo-shop-deals.example/assets/main.css,203.0.113.162,443,200,655,7340,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-10T07:15:33Z,10.12.9.14,CONNECT,ctldl.windowsupdate.com,ctldl.windowsupdate.com:443,198.51.100.120,443,200,1204,15680,-,Software Updates,ALLOW-WINDOWS-UPDATE,domain list: Windows Update,ALLOWED,bypass
2026-08-10T07:22:05Z,10.12.4.87,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3388,52107,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T07:24:41Z,10.12.4.87,GET,www.dailyledger-news.example,https://www.dailyledger-news.example/markets?ref=rss,203.0.113.150,443,200,701,31544,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",News and Media,ALLOW-GENERAL-WEB,category: News and Media,ALLOWED,inspect
2026-08-10T07:31:18Z,10.12.4.55,GET,www.dailyledger-news.example,https://www.dailyledger-news.example/world?ref=nav,203.0.113.150,443,200,688,29870,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",News and Media,ALLOW-GENERAL-WEB,category: News and Media,ALLOWED,inspect
2026-08-10T07:33:52Z,10.12.4.91,GET,docs.vendorportal.example,https://docs.vendorportal.example/invoices,203.0.113.140,443,200,802,44102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Business Applications,ALLOW-BUSINESS-SAAS,category: Business Applications,ALLOWED,inspect
2026-08-10T07:36:20Z,10.12.9.14,GET,cdn.staticlib.example,https://cdn.staticlib.example/js/app.min.js,203.0.113.155,443,200,590,88410,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Content Delivery Networks,ALLOW-CDN-GENERAL,category: Content Delivery Networks,ALLOWED,inspect
2026-08-10T07:41:52Z,10.12.4.87,CONNECT,cdn-assets-delivery.example,cdn-assets-delivery.example:443,192.0.2.77,443,200,2318,5412,-,Uncategorised,CDN-VENDOR-ALLOW-2026-03,host wildcard: cdn-assets-*,ALLOWED,bypass
2026-08-10T07:42:30Z,10.12.4.55,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,2950,40311,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T07:48:12Z,10.12.4.91,CONNECT,ctldl.windowsupdate.com,ctldl.windowsupdate.com:443,198.51.100.120,443,200,1180,14902,-,Software Updates,ALLOW-WINDOWS-UPDATE,domain list: Windows Update,ALLOWED,bypass
2026-08-10T08:24:11Z,10.44.2.118,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3204,50218,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T08:26:30Z,10.44.2.118,GET,docs.vendorportal.example,https://docs.vendorportal.example/contracts/list,203.0.113.140,443,200,815,39520,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Business Applications,ALLOW-BUSINESS-SAAS,category: Business Applications,ALLOWED,inspect
2026-08-10T09:05:22Z,10.44.2.104,CONNECT,teams.microsoft.com,teams.microsoft.com:443,198.51.100.111,443,200,5122,88764,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T09:31:40Z,10.12.4.87,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3011,47990,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T10:14:07Z,10.12.4.55,GET,www.gamblehub-casino.example,https://www.gamblehub-casino.example/,203.0.113.170,443,403,644,1180,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Gambling,BLOCK-GAMBLING,category: Gambling,BLOCKED,inspect
2026-08-10T11:02:19Z,10.12.9.14,GET,secure-login-verify-account.example,https://secure-login-verify-account.example/,203.0.113.171,443,403,671,1214,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Phishing,BLOCK-PHISHING-MALWARE,category: Phishing,BLOCKED,inspect
2026-08-10T11:40:03Z,10.44.3.22,GET,docs.vendorportal.example,https://docs.vendorportal.example/dashboard,203.0.113.140,443,200,780,40988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Business Applications,ALLOW-BUSINESS-SAAS,category: Business Applications,ALLOWED,inspect
2026-08-10T13:47:55Z,10.44.2.118,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3402,55031,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-10T14:20:36Z,10.12.4.91,GET,cdn.staticlib.example,https://cdn.staticlib.example/css/site.min.css,203.0.113.155,443,200,571,30210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Content Delivery Networks,ALLOW-CDN-GENERAL,category: Content Delivery Networks,ALLOWED,inspect
2026-08-10T15:08:14Z,10.12.7.31,GET,www.dailyledger-news.example,https://www.dailyledger-news.example/business?ref=home,203.0.113.150,443,200,695,28450,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",News and Media,ALLOW-GENERAL-WEB,category: News and Media,ALLOWED,inspect
2026-08-10T16:33:29Z,10.12.4.55,CONNECT,teams.microsoft.com,teams.microsoft.com:443,198.51.100.111,443,200,4988,80412,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-11T05:58:03Z,10.12.4.55,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,2877,39440,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-11T06:02:48Z,10.44.2.104,CONNECT,teams.microsoft.com,teams.microsoft.com:443,198.51.100.111,443,200,5230,90105,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-11T06:05:12Z,10.44.2.118,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3155,49876,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-11T06:07:38Z,10.44.2.118,GET,sso.nexanet-verify.com,https://sso.nexanet-verify.com/?ref=c47a930e,198.46.253.59,443,200,812,18442,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-11T06:07:39Z,10.44.2.118,GET,sso.nexanet-verify.com,https://sso.nexanet-verify.com/assets/login.css,198.46.253.59,443,200,640,5120,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-11T06:07:39Z,10.44.2.118,GET,sso.nexanet-verify.com,https://sso.nexanet-verify.com/assets/logo.png,198.46.253.59,443,200,644,14806,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-11T06:08:26Z,10.44.2.118,POST,sso.nexanet-verify.com,https://sso.nexanet-verify.com/auth/login,198.46.253.59,443,302,611,402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-11T06:08:27Z,10.44.2.118,GET,sso.nexanet-verify.com,https://sso.nexanet-verify.com/auth/complete,198.46.253.59,443,200,690,3204,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
2026-08-11T06:09:15Z,10.44.2.118,CONNECT,outlook.office.com,outlook.office.com:443,198.51.100.110,443,200,3098,47320,-,Microsoft 365,ALLOW-M365-ENDPOINTS,domain list: Microsoft 365,ALLOWED,bypass
2026-08-11T06:31:44Z,10.12.9.14,GET,www.dailyledger-news.example,https://www.dailyledger-news.example/tech?ref=home,203.0.113.150,443,200,702,30112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",News and Media,ALLOW-GENERAL-WEB,category: News and Media,ALLOWED,inspect
2026-08-11T06:44:20Z,10.12.4.91,CONNECT,ctldl.windowsupdate.com,ctldl.windowsupdate.com:443,198.51.100.120,443,200,1195,15110,-,Software Updates,ALLOW-WINDOWS-UPDATE,domain list: Windows Update,ALLOWED,bypass
2026-08-11T07:01:33Z,10.44.2.131,GET,docs.vendorportal.example,https://docs.vendorportal.example/dashboard,203.0.113.140,443,200,779,41230,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Business Applications,ALLOW-BUSINESS-SAAS,category: Business Applications,ALLOWED,inspect
2026-08-11T07:10:05Z,10.12.7.31,GET,promo-shop-deals.example,https://promo-shop-deals.example/checkout,203.0.113.162,443,200,733,19840,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",Newly Registered Domain,DEFAULT-ALLOW-UNCATEGORISED,default: uncategorised / newly registered,ALLOWED,inspect
