original_filename,renamed_filename,file_size_bytes,last_modified_utc,share_path
escalation_matrix_noc.xlsx,escalation_matrix_noc.xlsx.greyharbour,708675,2026-08-11T16:41:06Z,\\NX-FS01\Engineering\NetworkOps
overtime_summary_engineering.xlsx,overtime_summary_engineering.xlsx.greyharbour,809710,2026-08-11T16:41:14Z,\\NX-FS01\HR-Records\Payroll
disciplinary_procedure.docx,disciplinary_procedure.docx.greyharbour,608861,2026-08-11T16:41:53Z,\\NX-FS01\HR-Records\Policies
msa_towerco_lease_renewal.pdf,msa_towerco_lease_renewal.pdf.greyharbour,364644,2026-08-11T16:42:17Z,\\NX-FS01\Legal\Contracts
social_media_calendar_q3.xlsx,social_media_calendar_q3.xlsx.greyharbour,631241,2026-08-11T16:42:43Z,\\NX-FS01\Marketing\Campaigns
Q1_regional_revenue_summary.docx,Q1_regional_revenue_summary.docx.greyharbour,616064,2026-08-11T16:43:18Z,\\NX-FS01\Finance-Archive\Reports
logo_pack_partner_use.zip,logo_pack_partner_use.zip.greyharbour,80103,2026-08-11T16:43:51Z,\\NX-FS01\Marketing\BrandAssets
incident_disclosure_checklist.docx,incident_disclosure_checklist.docx.greyharbour,291051,2026-08-11T16:44:00Z,\\NX-FS01\Legal\Compliance
backbone_fibre_route_map.vsdx,backbone_fibre_route_map.vsdx.greyharbour,738901,2026-08-11T16:44:34Z,\\NX-FS01\Engineering\CoreNetwork
budget_reforecast_h2.xlsx,budget_reforecast_h2.xlsx.greyharbour,71616,2026-08-11T16:44:42Z,\\NX-FS01\Finance-Archive\Budgets
code_of_conduct_2026.docx,code_of_conduct_2026.docx.greyharbour,686563,2026-08-11T16:45:05Z,\\NX-FS01\HR-Records\Policies
outage_postmortem_lonexchange.docx,outage_postmortem_lagexchange.docx.greyharbour,722328,2026-08-11T16:45:45Z,\\NX-FS01\Engineering\NetworkOps
nda_vendor_onboarding_template.docx,nda_vendor_onboarding_template.docx.greyharbour,306420,2026-08-11T16:46:17Z,\\NX-FS01\Legal\Contracts
asset_register_network_hardware.xlsx,asset_register_network_hardware.xlsx.greyharbour,938129,2026-08-11T16:46:45Z,\\NX-FS01\IT\AssetInventory
Q2_regional_revenue_summary.docx,Q2_regional_revenue_summary.docx.greyharbour,31658,2026-08-11T16:47:11Z,\\NX-FS01\Finance-Archive\Reports
noc_shift_handover_log.xlsx,noc_shift_handover_log.xlsx.greyharbour,380731,2026-08-11T16:47:44Z,\\NX-FS01\Engineering\NetworkOps
cost_centre_allocation.docx,cost_centre_allocation.docx.greyharbour,648595,2026-08-11T16:47:58Z,\\NX-FS01\Finance-Archive\Reports
core_capacity_plan_2026.vsdx,core_capacity_plan_2026.vsdx.greyharbour,525674,2026-08-11T16:48:09Z,\\NX-FS01\Engineering\CoreNetwork
core_upgrade_maintenance_window.vsdx,core_upgrade_maintenance_window.vsdx.greyharbour,236807,2026-08-11T16:48:16Z,\\NX-FS01\Engineering\CoreNetwork
lawful_intercept_procedure_summary.docx,lawful_intercept_procedure_summary.docx.greyharbour,143623,2026-08-11T16:48:38Z,\\NX-FS01\Legal\Compliance
pension_contributions_q2.xlsx,pension_contributions_q2.xlsx.greyharbour,425225,2026-08-11T16:48:57Z,\\NX-FS01\HR-Records\Payroll
