timestamp_utc,host,user,event_type,source,description,severity
2026-08-11T16:36:14Z,LOS-NCS-WS118,priya.shah,RDP Login,Windows Event Log (Security 4624),Logon Type 10 (RemoteInteractive) for priya.shah from 10.60.10.23. No prior RDP logons to this host in baseline.,Medium
2026-08-11T16:37:22Z,LOS-NCS-WS118,priya.shah,File Created,Windows Event Log (Sysmon 11),"C:\ProgramData\SysHealth\syshealth.exe, written by rdpclip.exe (copied over the RDP session), SHA256 5e4f7eea4545e8aa7bdefc5b614bb005ea13586228db4959bbbc05ff3174a119",Medium
2026-08-11T16:38:41Z,LOS-NCS-WS118,priya.shah,Scheduled Task Created,Windows Event Log (Task Scheduler 106),Task 'SysHealthCheck' created via RDP session. Action: C:\ProgramData\SysHealth\syshealth.exe. Trigger: one-time at 16:41:00. Run-as: priya.shah,Medium
2026-08-11T16:41:04Z,LOS-NCS-WS118,priya.shah,Process Create,Windows Event Log (Sysmon 1),"syshealth.exe, parent svchost.exe (Task Scheduler), user priya.shah, command line --target \\NX-FS01\ --ext .greyharbour",High
2026-08-11T16:41:06Z,LOS-NCS-WS118,priya.shah,File Modification Spike,Windows Event Log (Sysmon 11),"Burst of file create/rename events begins against mapped drive \\NX-FS01, performed by syshealth.exe (running as priya.shah). First observed target: Engineering\NetworkOps share",High
2026-08-11T16:41:06Z,LOS-NCS-WS118,priya.shah,File Modification Spike (sustained),Windows Event Log (Sysmon 11),"Sustained high-rate file rename activity by syshealth.exe (running as priya.shah) across multiple \\NX-FS01\ shares (HR-Records, Finance-Archive, Legal, Marketing, Engineering, IT, Sales, CustomerCare, ExecOffice, Procurement). Renamed files consistently gain a non-standard extension. Activity continues until 2026-08-11T17:13:49Z",Critical
2026-08-11T16:52:57Z,LOS-NCS-WS118,priya.shah,File Modification Spike (staging share),Windows Event Log (Sysmon 11),Activity observed by syshealth.exe against \\NX-FS01\Finance-Archive\staging specifically - write/rename events on vpn_backup_full.zip.greyharbour within the sustained spike window.,Critical
2026-08-11T17:04:56Z,LOS-NCS-WS118,priya.shah,File Modification Spike (staging share),Windows Event Log (Sysmon 11),Further activity by syshealth.exe against \\NX-FS01\Finance-Archive\staging - finance_archive_master_index.xlsx.greyharbour written within the sustained spike window.,Critical
2026-08-11T17:15:12Z,LOS-NCS-WS118,priya.shah,Failed Access - Protected Folder,Windows Event Log (Security 5145),"Access denied: \\NX-FS01\ExecOffice\BoardPapers\Confidential - attempted by syshealth.exe (running as priya.shah), account lacks permission. Attempt occurred immediately after the sustained rename spike concluded",Medium
2026-08-11T17:16:03Z,LOS-NCS-WS118,priya.shah,Failed Access - Protected Folder,Windows Event Log (Security 5145),"Access denied: \\NX-FS01\Legal\Compliance\Privileged - attempted by syshealth.exe (running as priya.shah), account lacks permission",Medium
2026-08-12T01:00:19Z,NX-FS01,svc-backup,Backup Job Warning,NexaNet Backup Server,Backup job BKP-JOB-0142 (Finance-Archive_Nightly) failed: source files unreadable or renamed (extension mismatch against backup manifest),High
