timestamp_utc,host,user,event_type,source,description,severity
2026-08-11T16:34:51Z,LOS-FIN-WS118,priya.shah,VPN Session Established,NexaNet VPN Client (Local Event Log),Remote-access VPN tunnel established following successful SSO authentication,Medium
2026-08-11T16:38:41Z,LOS-FIN-WS118,priya.shah,Scheduled Task Created,Windows Event Log (Task Scheduler 106),"Task 'SysHealthCheck' created under \Microsoft\Windows\Maintenance, run-as SYSTEM. Not present in prior baseline for this host.",Medium
2026-08-11T16:39:55Z,LOS-FIN-WS118,priya.shah,Service Stop,Windows Event Log (Service Control Manager 7036),Volume Shadow Copy service (VSS) transitioned to stopped state outside of scheduled maintenance window.,High
2026-08-11T16:40:30Z,LOS-FIN-WS118,priya.shah,Backup Job Warning,NexaNet Backup Agent,Scheduled incremental backup job for \\NX-FS01\Finance-Archive failed pre-check: shadow copy provider unavailable. Job skipped.,High
2026-08-11T16:41:06Z,LOS-FIN-WS118,priya.shah,File Modification Spike,Windows Event Log (Sysmon 11),Burst of file create/rename events begins against mapped drive \\NX-FS01\. First observed target: Engineering\NetworkOps share.,High
2026-08-11T16:41:06Z - 17:13:49Z,LOS-FIN-WS118,priya.shah,File Modification Spike (sustained),Windows Event Log (Sysmon 11),"Sustained high-rate file rename activity across multiple \\NX-FS01\ shares (HR-Records, Finance-Archive, Legal, Marketing, Engineering, IT, Sales, CustomerCare, ExecOffice, Procurement). Renamed files consistently gain a non-standard extension.",Critical
2026-08-11T16:52:57Z,LOS-FIN-WS118,priya.shah,File Modification Spike (staging share),Windows Event Log (Sysmon 11),Activity observed against \\NX-FS01\Finance-Archive\staging specifically — write/rename events on vpn_backup_full.zip.greyharbour within the sustained spike window.,Critical
2026-08-11T17:04:56Z,LOS-FIN-WS118,priya.shah,File Modification Spike (staging share),Windows Event Log (Sysmon 11),Further activity against \\NX-FS01\Finance-Archive\staging — finance_archive_master_index.xlsx.greyharbour written within the sustained spike window.,Critical
2026-08-11T17:15:12Z,LOS-FIN-WS118,priya.shah,Failed Access — Protected Folder,Windows Event Log (Security 5145),Access denied: \\NX-FS01\ExecOffice\BoardPapers\Confidential — account priya.shah lacks permission. Attempt occurred immediately after the sustained rename spike concluded.,Medium
2026-08-11T17:16:03Z,LOS-FIN-WS118,priya.shah,Failed Access — Protected Folder,Windows Event Log (Security 5145),Access denied: \\NX-FS01\Legal\Compliance\Privileged — account priya.shah lacks permission.,Medium
2026-08-11T17:22:47Z,LOS-FIN-WS118,priya.shah,Backup Job Warning,NexaNet Backup Agent,Retry of incremental backup job for \\NX-FS01\Finance-Archive failed again: source files unreadable / extension mismatch against backup manifest.,High
2026-08-11T17:24:19Z,LOS-FIN-WS118,priya.shah,Service State Change,Windows Event Log (Service Control Manager 7036),Volume Shadow Copy service (VSS) returned to running state. No further shadow-copy-related activity logged for remainder of period.,Low
